game_id,title,sample_size,pipeline_faith,baseline_faith,faith_delta,pipeline_spoilers,baseline_spoilers,spoiler_delta
12,The Witcher 3: Wild Hunt,200,0.7143,1.0,-0.2857,0,0,0
79,Dead by Daylight,200,0.6,1.0,-0.4,0,0,0
34,A Plague Tale: Innocence,165,1.0,1.0,0.0,0,0,0
99,Balatro,200,0.6364,0.8889,-0.2525,0,0,0
32,Death Stranding,167,0.625,1.0,-0.375,0,0,0
11,Dragon Age: The Veilguard,200,0.9,1.0,-0.1,0,0,0
53,Star Wars Jedi: Survivor,200,0.8889,1.0,-0.1111,0,0,0
74,Dave the Diver,200,0.8889,1.0,-0.1111,0,0,0
67,Clair Obscur: Expedition 33,200,1.0,1.0,0.0,0,0,0
86,TEKKEN 8,200,0.9375,1.0,-0.0625,0,0,0
31,Forza Horizon 5,193,0.7,1.0,-0.3,0,0,0
94,Overwatch 2,200,0.7857,1.0,-0.2143,0,0,0
59,Monster Hunter Rise,193,1.0,0.875,0.125,0,0,0
20,Star Wars Jedi: Fallen Order,200,1.0,0.8889,0.1111,0,0,0
39,God of War Ragnarök,200,1.0,1.0,0.0,0,0,0
49,Hitman World of Assassination,172,1.0,1.0,0.0,0,0,0
70,Dragon Age: Inquisition,179,1.0,1.0,0.0,0,0,0
75,Battlefield 2042,200,1.0,1.0,0.0,0,0,0
78,The Outer Worlds,168,1.0,0.8182,0.1818,0,0,0
87,Street Fighter 6,200,1.0,0.9167,0.0833,0,0,0
