game_id,title,critic_faith,critic_n_ctx,user_faith,user_n_ctx
11,Dragon Age: The Veilguard,0.9,44,1.0,230
12,The Witcher 3: Wild Hunt,1.0,33,0.7059,351
20,Star Wars Jedi: Fallen Order,1.0,34,1.0,320
31,Forza Horizon 5,0.8889,21,0.9286,302
32,Death Stranding,0.8,58,0.5714,179
34,A Plague Tale: Innocence,1.0,34,0.9333,210
39,God of War Ragnarök,1.0,41,1.0,298
49,Hitman World of Assassination,0.8462,4,1.0,303
53,Star Wars Jedi: Survivor,1.0,26,1.0,326
59,Monster Hunter Rise,1.0,47,1.0,252
67,Clair Obscur: Expedition 33,1.0,60,1.0,375
70,Dragon Age: Inquisition,1.0,45,0.9412,202
74,Dave the Diver,1.0,46,1.0,314
75,Battlefield 2042,0.9286,60,1.0,245
78,The Outer Worlds,1.0,34,1.0,200
79,Dead by Daylight,1.0,16,0.6957,353
86,TEKKEN 8,0.75,26,0.95,366
87,Street Fighter 6,0.9412,33,0.9091,342
94,Overwatch 2,0.8667,60,0.7,372
99,Balatro,0.913,35,0.7826,315
