game_id,title,chunk_no,n_claims,faithfulness
11,Dragon Age: The Veilguard,30,14,1.0000
11,Dragon Age: The Veilguard,130,13,1.0000
11,Dragon Age: The Veilguard,7,12,1.0000
11,Dragon Age: The Veilguard,53,11,1.0000
12,The Witcher 3: Wild Hunt,77,15,1.0000
12,The Witcher 3: Wild Hunt,30,13,1.0000
12,The Witcher 3: Wild Hunt,36,13,1.0000
12,The Witcher 3: Wild Hunt,1,11,1.0000
20,Star Wars Jedi: Fallen Order,92,13,1.0000
20,Star Wars Jedi: Fallen Order,2,11,0.9500
20,Star Wars Jedi: Fallen Order,3,11,1.0000
20,Star Wars Jedi: Fallen Order,21,11,0.9333
31,Forza Horizon 5,1,12,1.0000
31,Forza Horizon 5,32,12,1.0000
31,Forza Horizon 5,27,10,0.9474
31,Forza Horizon 5,59,10,1.0000
32,Death Stranding,15,11,0.9412
32,Death Stranding,20,11,0.9231
32,Death Stranding,21,9,1.0000
32,Death Stranding,52,9,1.0000
34,A Plague Tale: Innocence,25,15,1.0000
34,A Plague Tale: Innocence,6,13,0.9667
34,A Plague Tale: Innocence,31,13,1.0000
34,A Plague Tale: Innocence,5,12,1.0000
39,God of War Ragnarök,56,14,0.0000
39,God of War Ragnarök,1,13,1.0000
39,God of War Ragnarök,62,12,1.0000
39,God of War Ragnarök,5,10,1.0000
49,Hitman World of Assassination,6,13,1.0000
49,Hitman World of Assassination,100,12,0.7143
49,Hitman World of Assassination,67,11,1.0000
49,Hitman World of Assassination,41,9,1.0000
53,Star Wars Jedi: Survivor,16,13,1.0000
53,Star Wars Jedi: Survivor,47,13,0.9231
53,Star Wars Jedi: Survivor,39,11,1.0000
53,Star Wars Jedi: Survivor,75,11,1.0000
59,Monster Hunter Rise,9,12,0.9524
59,Monster Hunter Rise,8,11,1.0000
59,Monster Hunter Rise,88,10,1.0000
59,Monster Hunter Rise,24,9,0.9474
67,Clair Obscur: Expedition 33,7,15,1.0000
67,Clair Obscur: Expedition 33,109,12,0.9167
67,Clair Obscur: Expedition 33,15,11,0.1905
67,Clair Obscur: Expedition 33,16,11,0.8571
70,Dragon Age: Inquisition,101,12,1.0000
70,Dragon Age: Inquisition,4,11,1.0000
70,Dragon Age: Inquisition,6,10,1.0000
70,Dragon Age: Inquisition,30,10,0.9375
74,Dave the Diver,33,14,0.8750
74,Dave the Diver,16,13,0.8750
74,Dave the Diver,22,12,0.9375
74,Dave the Diver,23,11,1.0000
75,Battlefield 2042,79,10,1.0000
75,Battlefield 2042,3,9,1.0000
75,Battlefield 2042,45,9,1.0000
75,Battlefield 2042,97,9,0.7692
78,The Outer Worlds,26,9,1.0000
78,The Outer Worlds,27,9,1.0000
78,The Outer Worlds,42,9,1.0000
78,The Outer Worlds,6,8,1.0000
79,Dead by Daylight,97,9,1.0000
79,Dead by Daylight,8,8,1.0000
79,Dead by Daylight,17,8,0.9286
79,Dead by Daylight,43,8,1.0000
86,TEKKEN 8,3,11,1.0000
86,TEKKEN 8,2,9,1.0000
86,TEKKEN 8,7,9,1.0000
86,TEKKEN 8,10,9,0.9091
87,Street Fighter 6,3,12,1.0000
87,Street Fighter 6,4,11,0.9231
87,Street Fighter 6,34,11,1.0000
87,Street Fighter 6,43,10,1.0000
94,Overwatch 2,4,9,0.9231
94,Overwatch 2,5,8,0.9091
94,Overwatch 2,14,8,0.9167
94,Overwatch 2,86,8,1.0000
99,Balatro,17,12,1.0000
99,Balatro,51,12,1.0000
99,Balatro,52,12,0.2105
99,Balatro,23,10,0.9000
