game_id,title,orig_faith_csv,normal_faith,mismatched_faith,mismatched_from,drop
12,The Witcher 3: Wild Hunt,0.7142857142857143,0.7143,0.0,79,0.7143
79,Dead by Daylight,0.7,0.7,0.0,86,0.7
34,A Plague Tale: Innocence,0.6666666666666666,1.0,0.0,75,1.0
99,Balatro,0.6363636363636364,0.6364,0.0,39,0.6364
32,Death Stranding,0.625,0.625,0.25,49,0.375
11,Dragon Age: The Veilguard,0.9,0.9,0.0,67,0.9
53,Star Wars Jedi: Survivor,0.8888888888888888,0.8889,0.0,99,0.8889
74,Dave the Diver,0.8888888888888888,0.8889,0.0,94,0.8889
67,Clair Obscur: Expedition 33,0.8333333333333334,0.8333,0.0,87,0.8333
86,TEKKEN 8,0.8125,0.8125,0.0,31,0.8125
31,Forza Horizon 5,0.8,0.8,0.0,34,0.8
94,Overwatch 2,0.7857142857142857,0.7857,0.0,78,0.7857
59,Monster Hunter Rise,0.7777777777777778,0.7778,0.0,20,0.7778
20,Star Wars Jedi: Fallen Order,1.0,1.0,0.0,53,1.0
39,God of War Ragnarök,1.0,1.0,0.0,12,1.0
49,Hitman World of Assassination,1.0,1.0,0.0,70,1.0
70,Dragon Age: Inquisition,1.0,1.0,0.0,74,1.0
75,Battlefield 2042,1.0,1.0,0.0,11,1.0
78,The Outer Worlds,1.0,1.0,0.0,32,1.0
87,Street Fighter 6,1.0,1.0,0.0,59,1.0
